tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,usia,jumlah
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Laki-Laki,>=60,235
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Laki-Laki,>=60,246
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Laki-Laki,>=60,76
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Laki-Laki,>=60,77
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Laki-Laki,>=60,213
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Laki-Laki,>=60,115
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,>=60,195
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,>=60,1344
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,>=60,1416
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,>=60,1105
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,>=60,858
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,>=60,1278
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,>=60,1326
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,>=60,1750
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,>=60,1721
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,>=60,1420
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,>=60,1795
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,>=60,1359
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,>=60,1518
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,>=60,1236
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,>=60,1484
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,>=60,1444
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,>=60,1789
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,>=60,1377
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,>=60,1467
2020,DKI Jakarta,JAKARTA PUSAT,S E N E N,SENEN,Laki-Laki,>=60,465
2020,DKI Jakarta,JAKARTA PUSAT,S E N E N,KENARI,Laki-Laki,>=60,704
2020,DKI Jakarta,JAKARTA PUSAT,S E N E N,PASEBAN,Laki-Laki,>=60,1495
2020,DKI Jakarta,JAKARTA PUSAT,S E N E N,KRAMAT,Laki-Laki,>=60,1727
2020,DKI Jakarta,JAKARTA PUSAT,S E N E N,KWITANG,Laki-Laki,>=60,1055
2020,DKI Jakarta,JAKARTA PUSAT,S E N E N,BUNGUR,Laki-Laki,>=60,1186
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,>=60,1631
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,>=60,2101
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,>=60,1409
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,>=60,1767
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,>=60,1539
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,>=60,593
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,>=60,412
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,>=60,839
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,>=60,213
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,>=60,1384
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,>=60,1049
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,>=60,1721
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,>=60,1759
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,>=60,1443
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,>=60,844
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,>=60,2229
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,>=60,1137
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,>=60,943
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,>=60,2165
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,>=60,3622
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,>=60,610
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,>=60,1975
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,>=60,4446
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-Laki,>=60,4081
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-Laki,>=60,1367
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-Laki,>=60,3484
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-Laki,>=60,1634
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-Laki,>=60,1299
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-Laki,>=60,2197
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-Laki,>=60,4430
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-Laki,>=60,1678
2020,DKI Jakarta,JAKARTA UTARA,KOJA,KOJA,Laki-Laki,>=60,1172
2020,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,Laki-Laki,>=60,2893
2020,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,Laki-Laki,>=60,2476
2020,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Laki-Laki,>=60,1473
